현대2차,오금로61길 20 
거여1단지,양산로8길 8
동아효성,양산로8길 18
거여3단지,양산로2길 44 
거여4단지,양산로4길 8 
거여5단지,양산로4길 16 
거여6단지,양산로2길 38 
e편한세상송파파크센트럴,오금로 551
송파시그니처롯데캐슬,거마로 56
신마천,성내천로43마길 11-1 
마천제일,마천로65길 12 
장수,성내천로 318 
웃마을,마천로61마길 12-20 
산성,성내천로55길 16 
송파보훈,성내천길 306
금호,마천로57길 16 
금호어울림,성내천로 314 
송파파크데일1단지,성내천로37길 37
송파파크데일2단지,성내천로47길 38 
마천,성내천로38길 4
하마천,성내천로23길 12 
남천,성내천로33가길 16
용마,거마로22길 11-8
마천제2,성내천로30길 13 
금호어울림1차,성내천로 245 
우방(아),성내천로 211 
아남,마천로35길 18 
신동아아파트,성내천로21길 11
왕천,양재대로71길 20-10 
대림,양재대로 1109 
코오롱,오금로31길 28
한양3차(아),오금로 251
신구블레스밸리,위례성대로12길 25 
방이,가락로39길 11 
몽촌,위례성대로2길 28-1
올림픽베어스타운,위례성대로 58
오륜1단지(아),양재대로 1218 
오륜2단지,양재대로 1218 
오륜3단지(아),양재대로 1218 
오금,성내천로10길 4
벌말,동남로28길 23 
목련,동남로24길 25 
백토,양재대로72길 47-8
누에머리,동남로30길 29
오금현대(아),오금로35길 17 
오금대림,위례성대로 176 
삼성,문정로 197 
오금우방(아),성내천로 87 
현대백조(아),양재대로72길 15 
현대백조(아)102동,양재대로 72길  20
송파레미니스1단지,성내천로 6
송파레미니스2단지,동남로 341
송파두산위브(아),성내천로 103
호수,송파대로48길 28 
송파제1,송파대로42길 29 
한양1차,가락로 187 
송파제2,송파대로38길 1
한양2차,가락로 192 
송파미성,오금로32길 10 
삼익(아),오금로32길 5
성지,송이로12길 17 
삼성래미안,오금로32길 14 
래미안송파파인탑,오금로32길 31
돌마리,가락로7길 4
오봉산,석촌호수로20길 13 
석촌,백제고분로40길 13-16 
삼전제1,백제고분로32길 6-30 
삼전제2,백제고분로27길 40-24 
가락본,양재대로62길 32-13 
훙이,송이로17길 48 
건너말,중대로10길 29 
가락우성2차아파트,중대로12길35
가락우성,송파대로32길 8
가락대림(아),송이로 88 
가락금호(아),송파대로32길 15 
가락쌍용(아),송이로15길 31 
가락본센트레빌,송파대로32길 33 
가락쌍용3차,송이로21길 23 
가락본동 가락골,송이로17길 24
가락시장,양재대로 932 
가락1센트레빌,송파대로37길 29 
헬리오시티 제1단지,송파대로 345
헬리오시티 제2단지,송파대로 345
헬리오시티 제3단지,송파대로 345
헬리오시티 제4단지,송파대로 345
헬리오시티 제5단지,송파대로 345
개롱,동남로14길 17-46 
가락골,송이로23길 16-28 
샛팽이,오금로42길 15 
가락극동,동남로 208 
미륭,동남로11길 4
프라자(아),문정로 125
삼환,오금로 432 
가락풍림(아),동남로9길 39
가락2쌍용,동남로 193
래미안파크,동남로 225 
연화,송파대로14길 7
문정,동남로6나길 3-6
문정골,동남로4길 17 
문정현대,동남로 160 
문정대우1차,문정로 55
문정래미안,문정로 83 
훼밀리제1,중대로 24 
훼밀리제2,중대로 24 
화훼마을,성남대로 1565
송파파크하비오푸르지오,송파대로 111
장지,새말로10길 3-16 
잔버들,새말로15길 17-5
문정시영(아),송이로31길 56
문정건영,새말로8길 12 
문정대우3차,송이로 257
파인타운1단지,충민로 188 
파인타운2단지,충민로 151 
파인타운3단지,충민로 152 
파인타운4단지,새말로12길 16
파인타운5단지,충민로4길 5
파인타운6단지,충민로6길 14
파인타운7단지,충민로4길 19 
파인타운8단지,충민로4길 6
파인타운9단지,송파대로8길 17 
파인타운10단지,송파대로8길 20 
파인타운11단지,송파대로8길 58 
파인타운13단지,송파대로8길 10
송파더센트레,위례광장로 163
송파꿈에그린,위례광장로 121
위례송파푸르지오,위례광장로 185
위례아이파크1차,위례광장로 136
위례2차아이파크,위례광장로 230
힐스테이트송파위례,위례광장로 170
위례포레샤인,위례순환로 477
위례포레샤인13단지,위례서이로 25
포레나송파,위례송파로 123
위례포레샤인18단지,위례북로4길 12
송파위례호반12단지,위례송파로 40
송파레이크파크호반써밋Ⅱ,위례송파로 80
송파와이즈더샵,위례광장로 270
신천,석촌호수로12길 1-17 
잠전,백제고분로15길 7 
신잠실,백제고분로18길 20-36 
우성4차,백제고분로18길 30 
현대(아),백제고분로18길 7
잠실엘스,올림픽로 99 
엘스어르신쉼터,올림픽로 99 
리센츠,올림픽로 135 
레이크팰리스,잠실로 88
트리지움,잠실로 62
잠실5,송파대로 567 
파크리오1,올림픽로 435 
파크리오2,올림픽로 435
파크리오3,올림픽로 435
파크리오4,올림픽로 435
장미,올림픽로35길 104
한신코아,신천로6길 11 
잠실I-SPACE,오금로 58 
아시아선수촌(아),올림픽로4길 15 
잠실7우성(아),올림픽로4길 42 
학수정, 강남구 도산대로17길 45
미성2차㉵, 강남구 압구정로 113
신현대㉵, 강남구 압구정로 151
강남상가㉵," 강남구 압구정로2길 46, 4층 옥탑"
미성1차㉵, 강남구 압구정로11길17
논현, 강남구 논현로 123길 19
논현㉵, 강남구 강남대로146길 28
논골, 강남구 강남대로128길 59
세심, 강남구 논현로115길 35-1
영동, 강남구 언주로116길 27
학리,강남구 선릉로141길 13-2
한마음, 강남구 논현로136길 5-8
논현쌍용, 강남구 도산대로50길 43
아크로힐스논현㉵, 강남구 언주로 604
현대㉵, 강남구 압구정로33길 48
압구정1동, 강남구 언주로157길 8
동호, 강남구 압구정로29길 57
압구정노인복지관, 강남구 도산대로53길 5
한양㉵, 강남구 압구정로 313
로데오현대㉵, 강남구 압구정로50길 28
청수, 강남구 도산대로85길 43
삼성청담공원㉵, 강남구 도산대로96길 39
청담현대3차㉵, 강남구 도산대로101길 29
진흥㉵, 강남구 학동로 87길 9
청담유로카운티㉵, 강남구 도산대로92길 10
청담, 강남구 도산대로67길 15
재너머, 강남구 삼성로147길 64
청담삼성1차㉵, 강남구 삼성로133길 20
청담자이㉵, 강남구 영동대로138길12
청담래미안로이뷰㉵, 강남구 영동대로142길 16
풍림㉵, 강남구 영동대로112길 15
I PARK삼성㉵, 강남구 영동대로 640
청담삼성진흥㉵, 강남구 학동로88길5
봉전, 강남구 봉은사로68길 39-3
서광㉵, 강남구 선릉로130길 19
롯데㉵, 강남구 학동로 432
삼성현대㉵," 강남구 학동로64길 14, 101동"
롯데캐슬프레미어㉵, 강남구 선릉로126길 22
힐스테이트2단지㉵," 강남구 삼성로111길 8, 304동"
힐스테이트1단지㉵," 강남구 학동로68길 29, 
 107동 뒤 2층"
삼성파크㉵, 강남구 삼성로99길 14
롯데캐슬킹덤㉵," 강남구 선릉로112길 53, 지하"
래미안삼성2차㉵," 강남구 선릉로130길 20, 
 104동"
우성㉵, 강남구 선릉로 120
선경㉵, 강남구 삼성로 151
대치삼성㉵, 강남구 도곡로78길 22
동부센트레빌㉵, 강남구 선릉로 206
롯데캐슬리베㉵, 강남구 도곡로 404
대치I'PARK㉵, 강남구 선릉로 222
래미안대치팰리스1단지㉵, 강남구 삼성로 51길 37
래미안대치팰리스2단지㉵, 강남구 삼성로51길 35
대치SK VIEW㉵, 강남구 삼성로51길 25
미도㉵, 강남구 삼성로 150
은마㉵, 강남구 삼성로 212
대치, 강남구 역삼로90길 18
쌍용제1차㉵, 강남구 영동대로 210
쌍용제2차㉵, 강남구 영동대로 220
대치현대㉵, 강남구 삼성로 64길 5
대치르엘경로당, 강남구 도곡로 93길23
우성1차㉵, 강남구 영동대로 230
대치4, 강남구 도곡로77길 22
한티, 강남구 선릉로76길 11
대치포스코더샵, 강남구 삼성로 417
역삼제3, 강남구 논현로79길 24
테헤란, 강남구 언주로97길 27-4
선정," 강남구 봉은사로 52길 7, 301호, 302호"
하방교, 강남구 역삼로11길 9-7
상방교, 강남구 봉은사로24길 70
역삼중앙, 강남구 도곡로21길 7
역삼회, 강남구 역삼로18길 22
한스빌, 강남구 도곡로3길26
역삼2, 강남구 도곡로27길 27
역삼복지, 강남구 언주로70길 18 
개나리푸르지오㉵, 강남구 역삼로 314
역삼푸르지오㉵, 강남구 언주로 332
역삼개나리래미안㉵, 강남구 역삼로 306
래미안펜타빌㉵, 강남구 역삼로 309
역삼2차아이파크㉵, 강남구 도곡로57길 12
역삼시니어하우스," 강남구 언주로 79길 30-3, 1층/지1층"
테헤란아이파크㉵ 실버클럽, 강남구 테헤란로52길 16
강남센트럴아이파크㉵, 강남구 테헤란로 44길 26
역말, 강남구 논현로58길 33
도곡우성㉵, 강남구 남부순환로363길 49
한신㉵," 강남구 논현로 205, 3동 뒤"
대림㉵, 강남구 논현로41길 10
역삼럭키㉵, 강남구 논현로 213
독구리, 강남구 남부순환로379길 14
도곡1동," 강남구 남부순환로351길 22-12, B101,103,104호"
도곡쌍용예가㉵," 강남구 남부순환로363길 30, 102동 지하"
도곡, 강남구 논현로26길 34
개포한신㉵, 강남구 언주로 123
개포우성4차㉵, 강남구 언주로 117
삼성래미안㉵," 강남구 남부순환로 2803, 상가"
대림아크로빌㉵, 강남구 언주로 30길 13
타워팰리스2차㉵, 강남구 언주로30길 57
아카데미스위트, 강남구 언주로30길 21
도곡렉슬경로당," 강남구 선릉로 221, 210동 1002호 "
우성3차㉵, 강남구 개포로 307
경남㉵, 강남구 언주로 110
개포현대1차㉵, 강남구 개포로 303
개포, 강남구 선릉로12길 12
이화, 강남구 개포로 409-1
주공5단지㉵, 강남구 삼성로4길 17
주공6단지㉵, 강남구 개포로 516
개포7단지㉵," 강남구 개포로 516, 주공7단지아파트"
래미안블레스티지, 강남구 선릉로 8
디에이치아너힐즈 노블라운지, 강남구 삼성로 11
대치1단지㉵, 강남구 개포로 109길 5
대치㉵2단지, 강남구 개포로 109길 9
대청3단지, 강남구 개포로109길 21
"래미안 개포 루체하임 
시니어클럽", 강남구 개포로110길 50
포이, 강남구 개포로20길 48
현대2차㉵ , 강남구 언주로 107
우성6차㉵, 강남구 언주로 3
밀미리, 강남구 개포로31길 31
개포래미안포레스트아파트,"강남구 개포로 264(120동, 126동 앞)"
일원, 강남구 광평로3길 21
상록수㉵, 강남구 광평로10길 15
가람㉵, 강남구 일원로 127
수서10단지㉵, 강남구 광평로19길 10
청솔빌리지, 강남구 광평로10길 50
샘터마을㉵, 강남구  일원로 120 
목련타운㉵, 강남구 광평로19길 15
한솔마을 시니어클럽," 강남구 광평로10길 6,102동"
푸른마을㉵, 강남구 일원로 14길 25
수서삼성㉵, 강남구  광평로31길 27 
강남데시앙포레㉵, 강남구 광평로34길 55
대청, 강남구 개포로124길 24
제일," 강남구 양재대로55길 10, 104동 놀이터 옆"
수서1단지㉵," 강남구 양재대로55길 12, 117동 앞"
장수," 강남구 양재대로55길 10,대청종합사회복지관"
궁마을, 강남구 광평로42길 18
수서3단지㉵, 강남구 광평로51길 49
수서4단지㉵, 강남구 광평로51길 27
수서6단지㉵, 강남구 광평로56길 11
수서7단지㉵, 강남구 광평로47길 17
수서8단지㉵, 강남구 광평로39길 3
한아름㉵, 강남구 광평로51길 22
강남 더샵 시니어하우스, 강남구 광평로34길 35
반고개, 강남구 헌릉로622길 9
방죽2, 강남구 밤고개로23길 14-31
은곡 , 강남구 헌릉로571길46-1
방죽1, 강남구 밤고개로24길 60
자곡, 강남구  자곡로7길 12-2 
쟁골, 강남구 밤고개로12길 29
세곡리엔파크1단지㉵, 강남구 헌릉로590길100
신동아파밀리에2단지, 강남구 헌릉로590길 10
세곡리엔파크3㉵, 강남구 헌릉로590길 11
세곡리엔파크4단지, 강남구 헌릉로590길 88
강남데시앙파크㉵, 강남구 헌릉로590길 63
세곡LH푸르지오㉵, 강남구 자곡로 21
강남LH3단지㉵, 강남구 자곡로 3길 22
강남LH1단지㉵, 강남구 헌릉로571길 20
래미안포레㉵, 강남구 밤고개로21길 25
래미안강남힐즈㉵, 강남구 자곡로 101
LH강남브리즈힐㉵, 강남구 자곡로3길45
한양수자인㉵, 강남구 자곡로 260
LH강남아이파크㉵, 강남구 자곡로 175
LH강남힐스테이트㉵, 강남구 자곡로 3길 21
윗반고개마을, 강남구 헌릉로645길 11
한신휴플러스6단지㉵ , 강남구 밤고개로26길50
한신휴플러스8단지㉵ , 강남구 밤고개로27길20
효성해링턴 시니어클럽, 강남구 자곡로 36
LH수서1단지," 강남구 밤고개로 165, 102동 1층"
삼성, 강남구 봉은사로111길 18-3
한솔㉵, 강남구 학동로64길 7
래미안하이스턴㉵, 강남구 도곡로93길 12
역삼e편한 세상㉵, 강남구 선릉로 69길 20
그레이튼 실버클럽㉵, 강남구 도곡로43길 21
레미안 그레이튼㉵, 강남구 도곡로43길 20
역삼래미안㉵, 강남구 선릉로69길 19
한신㉵, 강남구 개포로 110길 43
우성7차㉵, 강남구 개포로110길 15
대림㉵, 강남구 학동로77길 27
서초구립 서초1동 경로당,효령로68길49-3
서초현대아파트 경로당,사임당로19길10
서초삼성래미안 경로당,사임당로17길116
서초자이아파트 경로당,효령로68길81
서초캐슬리버티아파트 경로당,사임당로10길39
서초구립 서초2동 경로당,강남대로45길17-2
우성5차아파트 경로당,서초대로74길30
서초트라팰리스아파트 경로당,효령로72길57
래미안 서초에스티지(아)경로당,서운로 107
래미안리더스원 시니어스클럽,서초구 서운로 62
서초그랑자이 시니어클럽,서초구 효령로 391
서초구립 예술의마을 경로당,남부순환로323길44-15
서초구립 서초3동 경로당,반포대로1길53-3
서초한빛삼성아파트 경로당,서초대로40길72
서초한신플러스타운 경로당,남부순환로323길38-15
서초2차e편한세상 경로당,효령로49길57
서초5차e편한세상 경로당,명달로4길30
서초구립하명달 경로당,반포대로23길39-13
서초구립 명달 경로당,서운로23길17
서초구립 장안 경로당,서초대로55길13
삼풍아파트 경로당,서초중앙로200
유원서초아파트 경로당,서초중앙로24길43
서초래미안아파트 경로당,서초대로65길13-10
롯데캐슬클래식아파트경희회관 경로당 ,서운로200
래미안서초스위트아파트 경로당,서운로221
서초교대e편한세상아파트경로당,서초중앙로24길33
서초롯데캐슬프레지던트(아) 경로당,서초중앙로24길57
서초푸르지오써밋시니어클럽경로당,서운로201
서초구립 잠원동 경로당,강남대로107길24
서초구립 주흥경로당,신반포로47길51-6
신반포16차아파트 경로당,잠원로 157
한강아파트 경로당,잠원로213-10
잠원한신아파트 경로당,잠원로150
잠원훼미리아파트 경로당,잠원로202-11
월드메르디앙아파트 경로당,신반포로45길71
금호베스트빌아파트 경로당,나루터로46
롯데캐슬갤럭시1차 경로당,잠원로14길23
롯데캐슬갤럭시2차 경로당,잠원로14길23
강변아파트 경로당,잠원로166-17
신반포청구아파트 경로당,신반포로33길66
래미안 신반포팰리스 경로당,잠원로8길 35
래미안 신반포리오센트경로당,잠원로14길 32
서초구립 반포복지관 경로당,사평대로55길90
서초구립 반포1동 경로당,사평대로55길90
반포자이아파트 경로당,신반포로270
반포리체 경로당,고무래로35
반포래미안아이파크경로당,서초중앙로220
반포써밋시니어클럽 경로당,"고무래로89,105동 1층"
디에이치 반포라클라스경로당,서초중앙로206
서초구립 반포2동 경로당,신반포로15길28
래미안퍼스티지시니어클럽 경로당,반포대로275
아크로리버파크 경로당,신반포로15길19
반포힐스테이트 경로당,신반포로 16길 15-20
서초구립 반포3동 경로당,신반포로23길48
잠원동아아파트 경로당,신반포로33길 15
킴스빌리지아파트 경로당,잠원로3길 6
신반포자이아파트경로당,잠원로60
아크로리버뷰신반포아파트경로당,잠원로117
반포센트럴자이아파트시니어클럽경로당,반포대로310-6
반포르엘아파트경로당,신반포로23길 23
서초구립 반포4동 경로당,사평대로26길9-14
한신서래아파트 경로당,사평대로28길31
현대동궁아파트 경로당,사평대로154
궁전아파트 경로당,사평대로142
미도1차(아) 경로당,서초중앙로29길28
미도2차(아) 경로당,사평대로240
엠브이아파트 경로당 ,고무래로10길39
서초구립 기녕당 ,방배중앙로159-6
방배삼호아파트 경로당,방배로270
롯데캐슬헤론 경로당,서초구 동광로1길 112
서초구립 방배1동제1 경로당,서초대로114-8
방배브라운 경로당,방배로19길67
소정회 경로당,효령로25길50
방배서리풀이편한세상실버클럽 경로당,효령로33길 50
서초구립 방배2동제2 경로당,방배천로16길5
남태령 경로당,전원말안길2
우성아파트 경로당,방배선행길1
방배래미안아파트 경로당,방배선행길2
방배팔일경로당,과천대로 908
서초구립 방배3동제2 경로당,남부순환로287길17-4
신동아아파트 경로당,효령로164
대우효령아파트 경로당,효령로84
임광1.2차아파트 경로당,방배로14
임광3차아파트 경로당,방배로2길24-5
래미안방배아트힐 경로당,남부순환로2311-12
